상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적,TRDAR_CD,총_유동인구_수,야간_유동인구_17_24,야간_비율,주말_평균,주중_평균,주말_프리미엄,남성_유동인구_수,여성_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,총_매출,총_상주인구,평균_소득,총_인구,인당_매출효율,야간_매출효율,주류친화_지수,타겟연령_비율,성비_균형도,야간_유동인구_17_24_점수,총_매출_점수,주류친화_지수_점수
A,골목상권,3110008,배화여자대학교(박노수미술관),197093,453418,11110,종로구,11110515,청운효자동,149264,3110008,1179236,345914,0.2933373811518644,170234.0,167753.8,1.014784761954722,484135,695102,154792,180873,207474,4159614563.0,203288.0,3443668.0,1382524.0,3008.710563433257,12024.996279422054,0.1819163334730074,0.4605854977290381,0.8210985756879878,4.0,3.0,3.0
A,골목상권,3110009,자하문터널,196991,455057,11110,종로구,11110550,부암동,178306,3110009,165102,46011,0.27868226914271177,24818.0,23092.8,1.074707268066237,72453,92649,20612,23256,28944,850106461.0,70408.0,3702978.0,235510.0,3609.640613986667,18476.157027667297,0.1970922687121219,0.44101222274715024,0.8776756187084348,1.0,2.0,3.0
A,골목상권,3110010,평창동서측,197064,456643,11110,종로구,11110560,평창동,369415,3110010,204452,59225,0.2896767945532448,29470.0,29102.4,1.0126312606520425,87088,117365,15539,20961,32752,2092083103.0,131772.0,4492856.0,336224.0,6222.289613471971,35324.32423807514,0.17885858099276386,0.3387200907792538,0.8519114510985464,2.0,3.0,3.0
A,골목상권,3110017,정독도서관,198581,453781,11110,종로구,11110600,가회동,83855,3110017,411355,102585,0.24938313622053943,54669.0,60403.8,0.9050589532446633,197221,214134,60679,65930,77105,50724343.0,30968.0,3978549.0,442323.0,114.67715447761026,494.4615976994687,0.11165346303018897,0.4952267506168638,0.95888466166693,2.0,1.0,1.0
A,골목상권,3110018,중앙고등학교,198883,453690,11110,종로구,11110600,가회동,166872,3110018,435404,107355,0.24656411057316882,55269.5,64972.8,0.8506559668045705,209041,226363,56236,70182,81117,1341853785.0,122060.0,3430192.0,557464.0,2407.068052824936,12499.220203996088,0.08820085306572947,0.4766492728592296,0.9602162589227476,2.0,2.0,1.0
A,골목상권,3110019,창덕궁,199222,452926,11110,종로구,11110615,종로1?2?3?4가동,40999,3110019,554110,151335,0.2731136416956922,61753.0,86121.0,0.7170492678905261,298022,256090,100062,104874,110011,2387949254.0,10548.0,2496875.0,564658.0,4229.018722837541,15779.226576799814,0.050687892173625765,0.5683835339553518,0.9243254949378282,3.0,3.0,1.0
A,골목상권,3110020,서울국제고등학교,199598,454302,11110,종로구,11110650,혜화동,133692,3110020,1655087,431401,0.2606515548729463,233982.0,237424.6,0.9855002388126588,724467,930620,723560,156206,155917,2046756281.0,174016.0,2736810.0,1829103.0,1118.9945459605062,4744.440279461568,0.1505910284488313,0.6257574375244322,0.8754428014962355,5.0,3.0,2.0
A,골목상권,3110001,이북5도청사,196262,456660,11110,종로구,11110560,평창동,108529,3110001,180183,52780,0.2929244157328938,27198.5,25157.6,1.0811245905809777,79700,100482,19439,17952,27006,650083386.0,42844.0,4354652.0,223027.0,2914.8192191976755,12316.850814702539,0.20820448567212732,0.35739775672510726,0.8846617050443161,2.0,2.0,4.0
A,골목상권,3110002,독립문역 1번,196220,452912,11110,종로구,11110570,무악동,31531,3110002,506162,154643,0.3055207621275402,74816.5,71305.8,1.0492344241281915,222935,283226,55953,59808,77478,5162730816.0,25364.0,3463885.0,531526.0,9713.03532846935,33384.83355858332,0.2030062269278007,0.3817730291882836,0.8808859614115638,3.0,4.0,4.0
A,골목상권,3110003,세검정초등학교,196389,455998,11110,종로구,11110550,부암동,191570,3110003,325862,99587,0.3056109641504686,46377.5,46621.2,0.9947727643218107,151464,174397,35795,29907,50070,1543563500.0,136792.0,3474789.0,462654.0,3336.3236889770756,15499.648548505327,0.18127568421900547,0.3552792286305246,0.9296235829891181,2.0,2.0,3.0
A,골목상권,3110004,대신고등학교,196517,452627,11110,종로구,11110580,교남동,18781,3110004,684794,214523,0.3132664713767936,99494.5,97161.4,1.0240126222965087,310748,374047,81704,92448,108170,579851458.0,20820.0,2644953.0,705614.0,821.7686412117673,2702.9803704031738,0.19756493174467962,0.4122728879049758,0.907564902729872,4.0,2.0,3.0
A,골목상권,3110035,동묘앞역 2번,201699,452879,11110,종로구,11110710,숭인2동,95779,3110035,1288788,368163,0.2856660676542612,185361.5,183613.2,1.009521646591857,666807,621980,215768,187737,176876,1406322715.0,153072.0,2251484.0,1441860.0,975.3531653558598,3819.8371780977445,0.17520829922929954,0.45033085348404855,0.9652177084206246,4.0,2.0,2.0
A,골목상권,3110011,청운초등학교,197219,454141,11110,종로구,11110515,청운효자동,26913,3110011,43309,10920,0.25214158719896557,6321.0,6133.6,1.0305530194339376,19879,23430,3775,4474,6928,,19044.0,4237174.0,62353.0,,,0.16350616009295438,0.3504352444064744,0.9180078043824609,1.0,1.0,2.0
A,골목상권,3110012,성곡미술관,197292,452641,11110,종로구,11110530,사직동,124348,3110012,572883,151869,0.2650960143694262,72436.5,85602.2,0.8461990462861936,249698,323184,70749,110238,119192,3807390867.0,87284.0,5448355.0,660167.0,5767.314735513893,25070.230705410584,0.09753722713613314,0.5239795909461443,0.871725989425415,3.0,3.0,1.0
