상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적,TRDAR_CD,총_유동인구_수,야간_유동인구_17_24,야간_비율,주말_평균,주중_평균,주말_프리미엄,남성_유동인구_수,여성_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,총_매출,총_상주인구,평균_소득,총_인구,인당_매출효율,야간_매출효율,주류친화_지수,타겟연령_비율,성비_균형도,야간_유동인구_17_24_점수,총_매출_점수,주류친화_지수_점수,한식_월매출,한식_월건수,한식_주중매출,한식_주말매출,한식_월요일,한식_화요일,한식_수요일,한식_목요일,한식_금요일,한식_토요일,한식_일요일,한식_점포수,T1_야간유동인구,T2_한식매출밀도,C1_경쟁밀도,C2_상권활성도,E1_주류친화지수,T1_점수,T2_점수,C1_점수,C2_점수,E1_점수,곱창집_적합도_점수
A,골목상권,3110008,배화여자대학교(박노수미술관),197093,453418,11110,종로구,11110515,청운효자동,149264,3110008,1179236,345914,0.2933373811518644,170234.0,167753.8,1.014784761954722,484135,695102,154792,180873,207474,4159614563.0,203288.0,3443668.0,1382524.0,3008.710563433257,12024.996279422054,0.1819163334730074,0.4605854977290381,0.8210985756879878,4.0,3.0,3.0,882986225.0,20677.0,586860756.0,296125469.0,119320672.0,77092354.0,116273094.0,136396728.0,137777908.0,171996975.0,124128494.0,1.0,345914,2552.6103956174206,0.5,4159614563.0,0.1480156837278652,13.7196956326015,0.0005678310931556061,0.0,0.3992176135662984,35.09183220622911,7.685116510211595
A,골목상권,3110009,자하문터널,196991,455057,11110,종로구,11110550,부암동,178306,3110009,165102,46011,0.2786822691427117,24818.0,23092.8,1.074707268066237,72453,92649,20612,23256,28944,850106461.0,70408.0,3702978.0,235510.0,3609.640613986667,18476.157027667297,0.1970922687121219,0.4410122227471502,0.8776756187084348,1.0,2.0,3.0,305672098.0,5763.0,182664185.0,123007913.0,13506105.0,31613879.0,33356592.0,45673692.0,58513917.0,67381034.0,55626879.0,1.0,46011,6643.312570633748,0.5,850106461.0,0.1876663275816493,1.8248955397920512,0.0014778124564696481,0.0,0.08158868267663374,44.4922802259412,5.009304440047348
A,골목상권,3110010,평창동서측,197064,456643,11110,종로구,11110560,평창동,369415,3110010,204452,59225,0.2896767945532448,29470.0,29102.4,1.0126312606520425,87088,117365,15539,20961,32752,2092083103.0,131772.0,4492856.0,336224.0,6222.289613471971,35324.32423807514,0.1788585809927638,0.3387200907792538,0.8519114510985464,2.0,3.0,3.0,22552281.0,1237.0,21980181.0,572100.0,5499517.0,3551307.0,4399396.0,5785630.0,2744331.0,572100.0,0.0,1.0,59225,380.78345659001116,0.5,2092083103.0,0.007539681576168362,2.348991292173268,8.470571411223031e-05,0.0,0.20078697463730288,1.787521660513652,0.9135887763274692
A,골목상권,3110017,정독도서관,198581,453781,11110,종로구,11110600,가회동,83855,3110017,411355,102585,0.2493831362205394,54669.0,60403.8,0.9050589532446632,197221,214134,60679,65930,77105,50724343.0,30968.0,3978549.0,442323.0,114.67715447761026,494.4615976994687,0.1116534630301889,0.4952267506168638,0.95888466166693,2.0,1.0,1.0,3602404.0,27.0,3602404.0,0.0,0.0,0.0,1459202.0,2143202.0,0.0,0.0,0.0,1.0,102585,35.11594174643714,0.5,50724343.0,6.922667772614048e-08,4.068742451795606,7.811581282949743e-06,0.0,0.004868251818883339,1.6412388861620924e-05,1.221356567445721
A,골목상권,3110018,중앙고등학교,198883,453690,11110,종로구,11110600,가회동,166872,3110018,435404,107355,0.2465641105731688,55269.5,64972.8,0.8506559668045705,209041,226363,56236,70182,81117,1341853785.0,122060.0,3430192.0,557464.0,2407.068052824936,12499.220203996088,0.0882008530657294,0.4766492728592296,0.9602162589227476,2.0,2.0,1.0,652922708.0,11854.0,434405189.0,218517519.0,67547743.0,82061995.0,95280512.0,92753492.0,96761447.0,127378653.0,91138866.0,1.0,107355,6081.846454785946,0.5,1341853785.0,0.1240281089179995,4.257930944217158,0.001352913678779536,0.0,0.12878396728572203,29.404813580487993,4.2375164648265
A,골목상권,3110019,창덕궁,199222,452926,11110,종로구,11110615,종로1?2?3?4가동,40999,3110019,554110,151335,0.2731136416956922,61753.0,86121.0,0.7170492678905261,298022,256090,100062,104874,110011,2387949254.0,10548.0,2496875.0,564658.0,4229.018722837541,15779.226576799814,0.0506878921736257,0.5683835339553518,0.9243254949378282,3.0,3.0,1.0,191293436.0,2809.0,112115266.0,79178170.0,11634459.0,26146739.0,16226657.0,24568473.0,33538938.0,47870653.0,31307517.0,1.0,151335,1264.0312681714859,0.5,2387949254.0,0.19287827766391327,6.002272641638523,0.0002811851969344787,0.0,0.22918262931836522,45.727938996334174,6.407923382821963
A,골목상권,3110020,서울국제고등학교,199598,454302,11110,종로구,11110650,혜화동,133692,3110020,1655087,431401,0.2606515548729463,233982.0,237424.6,0.9855002388126588,724467,930620,723560,156206,155917,2046756281.0,174016.0,2736810.0,1829103.0,1118.9945459605062,4744.440279461568,0.1505910284488313,0.6257574375244322,0.8754428014962355,5.0,3.0,2.0,828551074.0,56239.0,660156650.0,168394424.0,140324995.0,117647551.0,126264189.0,135173682.0,140746233.0,141197224.0,27197200.0,1.0,431401,1920.6009105196545,0.5,2046756281.0,0.06648761641967849,17.1102945113523,0.00042723986253775367,0.0,0.19643674808738576,15.763007138359361,6.738961389420369
A,골목상권,3110001,이북5도청사,196262,456660,11110,종로구,11110560,평창동,108529,3110001,180183,52780,0.2929244157328938,27198.5,25157.6,1.0811245905809777,79700,100482,19439,17952,27006,650083386.0,42844.0,4354652.0,223027.0,2914.8192191976755,12316.85081470254,0.2082044856721273,0.3573977567251072,0.8846617050443161,2.0,2.0,4.0,600267476.0,15312.0,376991304.0,223276172.0,48934147.0,71076419.0,77390429.0,78583993.0,101006316.0,115225752.0,108050420.0,1.0,52780,11372.794679903753,0.5,650083386.0,0.1734859098246594,2.0933686855365994,0.0025298911445363766,0.0,0.062391535092339,41.13036054277156,4.751037862988121
A,골목상권,3110002,독립문역 1번,196220,452912,11110,종로구,11110570,무악동,31531,3110002,506162,154643,0.3055207621275402,74816.5,71305.8,1.0492344241281917,222935,283226,55953,59808,77478,5162730816.0,25364.0,3463885.0,531526.0,9713.03532846935,33384.83355858332,0.2030062269278007,0.3817730291882836,0.8808859614115638,3.0,4.0,4.0,511312176.0,18787.0,362025461.0,149286715.0,72835574.0,69057141.0,65347630.0,68070404.0,86714712.0,100465431.0,48821284.0,1.0,154643,3306.382245673935,0.5,5162730816.0,0.12598589305342064,6.133475059443659,0.0007355085006998101,0.0,0.4954913597480615,29.86896866625937,4.901446965546419
A,골목상권,3110003,세검정초등학교,196389,455998,11110,종로구,11110550,부암동,191570,3110003,325862,99587,0.3056109641504686,46377.5,46621.2,0.9947727643218108,151464,174397,35795,29907,50070,1543563500.0,136792.0,3474789.0,462654.0,3336.3236889770756,15499.648548505327,0.1812756842190054,0.3552792286305246,0.929623582989118,2.0,2.0,3.0,128899771.0,3439.0,106520744.0,22379027.0,19177327.0,19493282.0,20328744.0,17066043.0,30455348.0,22379027.0,0.0,1.0,99587,1294.3303510463109,0.5,1543563500.0,0.06420585338222067,3.9498353028899835,0.00028792526246894606,0.0,0.14814298957873012,15.22204253495922,2.729448274115344
A,골목상권,3110004,대신고등학교,196517,452627,11110,종로구,11110580,교남동,18781,3110004,684794,214523,0.3132664713767936,99494.5,97161.4,1.0240126222965087,310748,374047,81704,92448,108170,579851458.0,20820.0,2644953.0,705614.0,821.7686412117673,2702.9803704031738,0.1975649317446796,0.4122728879049758,0.907564902729872,4.0,2.0,3.0,566113085.0,8558.0,317391459.0,248721626.0,42750940.0,58494284.0,56021150.0,42810591.0,117314494.0,126794901.0,121926725.0,1.0,214523,2638.926576979732,0.5,579851458.0,0.2454887496504626,8.508445064936868,0.0005870322261229125,0.0,0.055651049341154724,58.20092705236235,8.381120640175
A,골목상권,3110035,동묘앞역 2번,201699,452879,11110,종로구,11110710,숭인2동,95779,3110035,1288788,368163,0.2856660676542612,185361.5,183613.2,1.009521646591857,666807,621980,215768,187737,176876,1406322715.0,153072.0,2251484.0,1441860.0,975.3531653558598,3819.837178097745,0.1752082992292995,0.4503308534840485,0.9652177084206246,4.0,2.0,2.0,385773191.0,14995.0,265091400.0,120681791.0,44508839.0,47501470.0,52198576.0,58502733.0,62379782.0,67603887.0,53077904.0,1.0,368163,1047.829747069241,0.5,1406322715.0,0.13004822517207856,14.602138980166938,0.00023309092203840773,0.0,0.1349713512353567,30.832073882433715,7.484153057709266
A,골목상권,3110011,청운초등학교,197219,454141,11110,종로구,11110515,청운효자동,26913,3110011,43309,10920,0.2521415871989655,6321.0,6133.6,1.0305530194339376,19879,23430,3775,4474,6928,,19044.0,4237174.0,62353.0,,,0.1635061600929543,0.3504352444064744,0.9180078043824608,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10920,0.0,1.0,0.0,0.252135765412145,0.4331107625248136,0.0,100.0,0.0,59.776813849669395,26.107614613724383
A,골목상권,3110012,성곡미술관,197292,452641,11110,종로구,11110530,사직동,124348,3110012,572883,151869,0.2650960143694262,72436.5,85602.2,0.8461990462861936,249698,323184,70749,110238,119192,3807390867.0,87284.0,5448355.0,660167.0,5767.314735513893,25070.230705410584,0.0975372271361331,0.5239795909461443,0.871725989425415,3.0,3.0,1.0,890373787.0,16780.0,744056553.0,146317234.0,125207912.0,166013429.0,128239196.0,148820272.0,175775744.0,89761574.0,56555660.0,1.0,151869,5862.736465398038,0.5,3807390867.0,0.05213051066720542,6.02345223387188,0.0013041724117968966,0.0,0.3654130623924013,12.35919793825347,3.0980934664487205
A,골목상권,3110013,체부동홍종문가옥,197340,453202,11110,종로구,11110530,사직동,17064,3110013,134554,39617,0.2944319752664358,19525.5,19100.2,1.0222667825467795,55214,79339,19269,22054,23494,35845450.0,15084.0,3732442.0,149638.0,239.5477752977185,904.7997071964056,0.1855658981785732,0.4817173774098132,0.8207039552893263,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39617,0.0,1.0,35845450.0,0.29442978707591694,1.5712957032001411,0.0,100.0,0.0034402550499509042,69.80395877223341,27.452300626440877
A,골목상권,3110014,경복고등학교,197484,453952,11110,종로구,11110515,청운효자동,63411,3110014,35307,7782,0.2204095505140623,5329.5,4930.2,1.0809906291834004,15512,19796,3297,4071,5439,407105727.0,37888.0,5290159.0,73195.0,5561.93356103559,52313.76599845798,0.1646419819817975,0.3627326026000509,0.8786642875350497,1.0,1.0,2.0,391748585.0,9810.0,267555409.0,124193176.0,48544977.0,44493604.0,54782898.0,47591615.0,72142315.0,68558128.0,55635048.0,1.0,7782,50333.879609405114,0.5,407105727.0,0.10230623647574649,0.30865091153554025,0.011196828913038265,0.0,0.039071835705108575,24.25495186481933,2.526750442526621
A,골목상권,3110015,청와대사랑채,197585,453623,11110,종로구,11110515,청운효자동,69399,3110015,54741,15723,0.2872252973091467,7741.0,7852.2,0.985838363770663,24396,30346,7573,9704,10613,833702013.0,26096.0,3980058.0,80837.0,10313.371513044767,53024.36004579279,0.1666705238937532,0.509490144498639,0.8913063334612082,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15723,0.0,1.0,833702013.0,0.287220050418326,0.623608106151799,0.0,100.0,0.08001427127787444,68.09466106359031,27.008550678896253
A,골목상권,3110016,평창동동측,197827,457040,11110,종로구,11110560,평창동,522818,3110016,23334,5994,0.2568783749035742,3519.5,3259.0,1.0799324946302546,9451,13884,2032,2565,3562,558195239.0,89328.0,4884771.0,112662.0,4954.600832578864,93125.66549883215,0.1861000227942463,0.3496614382446216,0.8100197137224651,1.0,2.0,3.0,109763937.0,2189.0,60506929.0,49257008.0,13847329.0,13091820.0,10229708.0,13571596.0,9766476.0,24551299.0,24705709.0,1.0,5994,18309.247206005006,0.5,558195239.0,0.20910857961631216,0.23773497349576309,0.004072912918356798,0.0,0.053572600980830255,49.575849017931375,5.03795951221858
A,골목상권,3110005,세검정,196688,455706,11110,종로구,11110550,부암동,244923,3110005,96805,28528,0.2946955219255204,14593.0,13523.4,1.079092535900735,43765,53040,9714,11136,14825,726210801.0,92056.0,3768541.0,188861.0,3845.213151471188,25456.07126332025,0.2084543275156062,0.3685243530809359,0.9041888332214244,1.0,2.0,4.0,273489861.0,6101.0,171222598.0,102267263.0,15314563.0,39180576.0,41282320.0,31939344.0,43505795.0,55792350.0,46474913.0,1.0,28528,9586.380910652319,0.5,726210801.0,0.17601294219197494,1.1314820360172055,0.0021325013645825453,0.0,0.06969783823244348,41.72947405277356,4.52337981715853
A,골목상권,3110006,부암동주민센터,196701,454714,11110,종로구,11110550,부암동,91486,3110006,8874,2559,0.2883705206220419,1392.0,1217.8,1.1430448349482674,3055,5817,925,1008,1240,57232651.0,27220.0,3963935.0,36094.0,1585.6555383166178,22365.240719030873,0.2302402463525321,0.357561415370746,0.6887536623844941,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2559,0.0,1.0,57232651.0,0.2883380281690141,0.10149546165760055,0.0,100.0,0.00549288449788823,68.35971329757908,26.86724390092987
A,골목상권,3110007,사직공원(한국사회과학도서관),196895,452714,11110,종로구,11110530,사직동,80252,3110007,1127368,325994,0.2891637868025347,165513.0,159268.2,1.0392093336899644,512631,614737,140981,146679,189271,37670299.0,83792.0,2770422.0,1211160.0,31.10266108524059,115.55519119983803,0.1891820055575065,0.4230481972168803,0.9094297514210088,4.0,1.0,3.0,37670299.0,131.0,33116467.0,4553832.0,5890013.0,7681782.0,7442704.0,9949330.0,2152638.0,3953155.0,600677.0,1.0,325994,115.5548367306247,0.5,37670299.0,0.03976276777806981,12.92962545041338,2.5705305193782703e-05,0.0,0.003615394321117757,9.427030567170856,4.822139427315566
A,골목상권,3110037,신설동역 12번,201949,453159,11110,종로구,11110710,숭인2동,55232,3110037,949714,268359,0.2825682258027153,139767.5,134036.0,1.042760900056701,465364,484351,125168,138691,139705,738232967.0,68308.0,2191167.0,1018022.0,725.1640603051801,2750.9156279461467,0.1866452955043096,0.4249321374645419,0.9800076654656034,4.0,2.0,3.0,213290944.0,10735.0,166319084.0,46971860.0,29818663.0,35628105.0,29478995.0,32181925.0,39211396.0,32058452.0,14913408.0,1.0,268359,794.7940974809957,0.5,738232967.0,0.07980287680098531,10.643696989047296,0.00017680285325998425,0.0,0.07085166158499863,18.91981370989908,5.095762417655162
A,골목상권,3110038,경향신문사,197253,451928,11140,중구,11140520,소공동,36893,3110038,26099,5479,0.2099314149967431,2261.5,4315.2,0.5240776789024842,12649,13450,3427,5678,5988,3232728463.0,556.0,1554706.0,26655.0,121280.37752766836,590021.6212812557,-0.0644100794409604,0.5782980190811908,0.9693091689336756,1.0,3.0,1.0,1395582934.0,49318.0,1176507484.0,219075450.0,201490895.0,231632286.0,237415040.0,258894763.0,247074500.0,122494693.0,96580757.0,1.0,5479,254668.4186131387,0.5,3232728463.0,0.03908947278743303,0.2173089622594738,0.05665128010979928,0.0,0.31026003076975667,9.267404544835546,1.05263496780431
A,골목상권,3110039,회현역 1번,198305,450967,11140,중구,11140540,회현동,9928,3110039,81483,22438,0.2753703226439871,9896.0,12338.6,0.8020358873778224,37728,43754,10190,15336,15799,231059973.0,3992.0,1988593.0,85475.0,2703.246247440772,10297.70803993226,0.0860365485375212,0.5071610029085821,0.926045923689604,1.0,1.0,1.0,231059973.0,10908.0,209441098.0,21618875.0,39589671.0,35698096.0,38553330.0,53273887.0,42326114.0,16843883.0,4774992.0,1.0,22438,10297.249119836,0.5,231059973.0,0.028423856769473416,0.8899394953783671,0.002290634808293098,0.0,0.02217590346765823,6.738780562214658,0.9447589490571981
A,골목상권,3110021,성균관대학교,199759,453776,11110,종로구,11110650,혜화동,77655,3110021,1332515,422706,0.3172241963505101,199553.0,186682.2,1.068944977078693,581649,750865,541026,156517,144394,1994734960.0,82044.0,2902668.0,1414559.0,1410.1461727647982,4718.965332879117,0.2179125086417832,0.631840542132734,0.8730100599242785,5.0,3.0,5.0,662268242.0,19942.0,448165663.0,214102579.0,88000325.0,75653172.0,90370243.0,82897076.0,111244847.0,136599969.0,77502610.0,1.0,422706,1566.731192055017,0.5,1994734960.0,0.15154768283840894,16.765432049799806,0.00034852114016028753,0.0,0.19144401923964172,35.929205091440586,8.651353857254987
A,골목상권,3110022,경신고등학교,199921,454166,11110,종로구,11110650,혜화동,60182,3110022,539884,149797,0.2774614546828578,75090.5,77941.0,0.9634274643640702,243577,296306,112737,64863,76063,1071078552.0,67496.0,3478003.0,607380.0,1763.4406006124666,7150.200284384868,0.1518478585553427,0.4698472264412355,0.9023327233257514,3.0,2.0,2.0,178487294.0,4946.0,162752521.0,15734773.0,27545216.0,28623683.0,34338190.0,36972807.0,35272625.0,9564656.0,6170117.0,1.0,149797,1191.5198734295518,0.5,1071078552.0,0.026824685374900077,5.941272243033838,0.00026505495449198054,0.0,0.10279640505035095,6.359646048668481,2.433832002273175
A,골목상권,3110023,서울대병원,200139,453265,11110,종로구,11110640,이화동,15969,3110023,729438,199018,0.2728374447177142,84557.5,112064.4,0.7545438158772991,313525,415913,173641,138882,124276,856619983.0,25368.0,3548230.0,754806.0,1134.8876174805182,4304.233702479173,0.0655199931815481,0.5988158006574925,0.8596344034722623,3.0,2.0,1.0,400533254.0,21609.0,360945152.0,39588102.0,73729511.0,67444370.0,75923031.0,70088994.0,73759246.0,27815541.0,11772561.0,1.0,199018,2012.5377677508177,0.5,856619983.0,0.029924496745664202,7.89348330917247,0.00044769132126114226,0.0,0.08221381576754114,7.094555064754979,3.089944494422685
A,골목상권,3110024,혜회동주민센터,200121,454192,11110,종로구,11110650,혜화동,52850,3110024,268083,78814,0.2939910400883309,38260.5,38312.0,0.9986557736479432,118168,149912,56166,33776,39280,1915198201.0,49964.0,3655720.0,318047.0,6021.745845739781,24300.22839850788,0.1758569335121758,0.4820223587471044,0.8815889108969983,2.0,3.0,2.0,1351559915.0,41785.0,941859605.0,409700310.0,200558659.0,152455093.0,202167823.0,194346894.0,192331136.0,222602137.0,187098173.0,1.0,78814,17148.51126054685,0.5,1915198201.0,0.1278829355195502,3.125933300149328,0.0038147058837438683,0.0,0.18381050545179756,30.318723004670588,3.998177542800563
A,골목상권,3110025,충신시장옆,200370,452813,11110,종로구,11110630,종로5?6가동,39184,3110025,322479,87338,0.2708331395222634,40715.0,48209.6,0.844541336165411,163392,159087,54957,57007,51729,314383247.0,27092.0,2770370.0,349571.0,899.3401826810576,3599.6158258719,0.1003164181795225,0.5076082473587428,0.9866502935074842,2.0,1.0,1.0,314383247.0,10817.0,239606724.0,74776523.0,41477266.0,34831248.0,60558693.0,40696381.0,62043136.0,39861841.0,34914682.0,1.0,87338,3599.574611571005,0.5,314383247.0,0.08452140880774413,3.464013532728221,0.0008007294768104017,0.0,0.030172826763556114,20.038492009864463,3.0477793671886486
A,골목상권,3110026,종로5가역 4번,200477,452601,11110,종로구,11110630,종로5?6가동,16485,3110026,245395,69193,0.2819658102243322,27920.5,37910.8,0.7364787870474904,126230,119165,38029,36054,37944,461479.0,4796.0,2729503.0,250191.0,1.8445067968072393,6.669446331276285,0.0637710009535954,0.4565170439495507,0.971209682348866,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69193,0.0,1.0,461479.0,0.28196466120067154,2.744343680529252,0.0,100.0,4.429029235778302e-05,66.84870366259338,27.508180113961966
