상권_코드_명,곱창집_적합도_v2,T1_야간유동인구,한식_월매출,한식_점포수,C2_상권활성도,T1_점수_v2,T2_점수_v2,C1_점수_v2,C2_점수_v2,E1_점수_v2,latitude,longitude,color,marker_size
강남역,46.79539559548554,2521295,56439136006.0,1.0,419676480385.0,100.0,7.9443242931331,26.666666666666664,40.27756384974748,34.34346611406812,37.4979,127.0276,red,18.718158238194214
종로?청계 관광특구,40.13433005224747,2253271,45041308333.0,1.0,231175233640.0,89.15415223212244,7.0936355435321365,26.666666666666664,22.185993978071803,29.53443066683595,37.5703,126.991,red,16.05373202089899
명동 남대문 북창동 다동 무교동 관광특구,38.774487642020816,1657878,105629044146.0,1.0,452474259100.0,65.06100445408794,22.61975016849804,26.666666666666664,43.425358973144554,17.541115843649095,37.5636,126.9831,orange,15.509795056808326
"신촌역(신촌역, 신촌로터리)",38.11917413496926,2150525,20004622800.0,1.0,93311265251.0,84.99643697245037,3.298724743038333,26.666666666666664,8.954380606993457,51.19071433092222,37.5547,126.9366,orange,15.247669653987707
종로3가역,36.570012985773865,1775563,35012517932.0,1.0,324292339823.0,69.82324065145336,6.997692439463406,26.666666666666664,31.12298862318904,38.7183605366032,37.5703,126.991,orange,14.628005194309546
홍대입구역(홍대),35.49816068486075,1624245,27851677036.0,1.0,149085685367.0,63.70001290864041,6.08451899082421,26.666666666666664,14.30737872241612,73.87586922866821,37.5568,126.9236,orange,14.199264273944301
노량진역(노량진),35.18050703111688,540307,22077511917.0,1.0,1041941643266.0,19.837423969524277,14.505044938508762,26.666666666666664,100.0,52.69685272299077,37.5139,126.9425,orange,14.072202812446754
노원역,33.981234001436334,1713961,28625583716.0,1.0,133400738731.0,67.33045674330785,5.926133442356436,26.666666666666664,12.802002429692871,50.46929920067611,37.6542,127.0621,yellow,13.592493600574535
잠실 관광특구,33.980832855935304,1376101,31245920954.0,1.0,355421555936.0,53.65862837400095,8.058360787455866,26.666666666666664,34.11064201054665,54.18724511955728,37.5133,127.1028,yellow,13.592333142374123
국회의사당역(국회의사당),32.63580126918209,89475,25198750474.0,1.0,70358914968.0,1.5940754601080525,100.0,26.666666666666664,6.751508975986146,8.11518951418419,37.529,126.9173,yellow,13.054320507672836
연남동(홍대),32.63502405516127,1698353,15640664171.0,1.0,68420538938.0,66.69886408010964,3.265739685585013,26.666666666666664,6.56547166328993,54.90775826905298,37.5602,126.9264,yellow,13.054009622064507
까치산역 3번,32.01680798354805,1810916,4096683536.0,1.0,17309966954.0,71.25383364363978,0.7988754737682008,26.666666666666664,1.660090398195606,48.58592128951392,37.5317,126.8456,yellow,12.80672319341922
남영동 먹자골목,30.880011220398984,60451,14539439985.0,1.0,27063325791.0,0.4195915123463659,85.40112828719057,26.666666666666664,2.5961774317302604,36.81091746804556,37.5409,126.971,yellow,12.352004488159594
가산디지털단지,30.769055617367833,298042,35745236821.0,1.0,757193642032.0,10.0339387984767,42.5831243248828,26.666666666666664,72.67106478550892,8.79099845444449,37.4816,126.8827,yellow,12.307622246947133
수유역,30.616022907282307,1505452,18565312537.0,1.0,110764705498.0,58.89294043046876,4.374601995979975,26.666666666666664,10.629489600605948,49.267335057224614,37.6378,127.0257,yellow,12.246409162912922
신림역(신림),30.372684424195953,1545089,10777568667.0,1.0,57759889512.0,60.49688958418397,2.4724828634921754,26.666666666666664,5.542306632297719,54.40817504889727,37.4844,126.9298,yellow,12.149073769678381
영등포역(영등포),30.244227776927392,1286921,33147340585.0,1.0,144540045427.0,50.04987429250332,9.141736830631343,26.666666666666664,13.87110700535295,55.29831897382286,37.5158,126.9076,yellow,12.097691110770956
망리단길,29.331565674078796,1496241,5212676619.0,1.0,14760542890.0,58.52020849679894,1.2326682567711689,26.666666666666664,1.4154072229761787,59.216916440665635,37.5547,126.9062,green,11.732626269631519
대학로(혜화역),29.15644698145376,1359708,14718902992.0,1.0,55070366960.0,52.99526993423878,3.839475278724191,26.666666666666664,5.284177383758698,61.7203724060394,37.582,126.9996,green,11.662578792581504
불광역 7번,28.36995396047653,1108867,1620833782.0,1.0,3801552944.0,42.8447487124744,0.5146188317748354,26.666666666666664,0.3636087030477726,100.0,37.6108,126.9329,green,11.347981584190611
선릉역,27.84638325240025,1475264,31946112744.0,1.0,127742568156.0,57.67135410828609,7.684938420543845,26.666666666666664,12.258954624592947,14.515658877561927,37.5044,127.049,green,11.138553300960101
북창동(시청역_6번),26.869637783557785,258844,46530015642.0,1.0,71186251243.0,8.447754200062885,63.82736500581533,26.666666666666664,6.830913289140544,20.204999453806703,37.564,126.9769,green,10.747855113423114
"총신대입구역(이수, 총신대)",26.6834022765087,1254084,14382602001.0,1.0,74188194737.0,48.72109364915125,4.068000369508689,26.666666666666664,7.11902740727151,46.488866449620986,37.4865,126.9817,green,10.673360910603481
신논현역,26.289823360632813,1205699,25934688900.0,1.0,130812502185.0,46.76314830004536,7.633655926892827,26.666666666666664,12.553594193010346,31.360924266111144,37.5044,127.0251,green,10.515929344253125
길동역,26.252239947329265,1336992,11778289854.0,1.0,52233073758.0,52.0760452457963,3.123784620863843,26.666666666666664,5.011865719529481,37.633670271116635,37.537,127.1441,green,10.500895978931705
역삼역,25.7376257219242,1270487,35622694238.0,1.0,143834818930.0,49.38485674848748,9.951889389402384,26.666666666666664,13.803422283547942,10.303496741618371,37.5,127.0364,green,10.29505028876968
여의도역(여의도),25.715263623780285,417519,57045270845.0,1.0,185093834156.0,14.86868999151429,48.51161417538144,26.666666666666664,17.763291884874644,11.289259664161094,37.5213,126.9245,green,10.286105449512114
