상권_코드,상권명,총_유동인구,야간_17_24시,야간_18_01시,야간_19_02시,최적야간구간_17-24시,최고요일_수,주말_평균,주중_평균
3001496,강남 마이스 관광특구,100649,26077,21762.583333333332,17448.166666666668,26077,15603,11061.0,15704.8
3001495,잠실 관광특구,4111537,1376101,1273661.25,1171221.5,1376101,571332,604754.0,580406.0
3001494,종로?청계 관광특구,8147936,2253271,1998879.3333333333,1744487.6666666665,2253271,1237661,894853.5,1271645.6
3001493,동대문패션타운 관광특구,3304504,1029812,967622.4166666666,905432.8333333333,1029812,503640,378593.5,509463.4
3001492,명동 남대문 북창동 다동 무교동 관광특구,6931325,1657878,1393889.5,1129901.0,1657878,1076686,686424.5,1111695.0
3001491,이태원 관광특구,2053162,664721,640991.9166666666,617262.8333333333,664721,271285,341245.5,274134.6
3130327,"평화시장(남평화시장, 제일평화시장, 신평화패션타운)",54429,15433,15371.583333333334,15310.166666666666,15433,8628,5597.0,8646.8
3130326,고덕 골목형상점가,95818,29568,28635.416666666668,27702.833333333332,29568,13566,13907.5,13600.4
3130325,명일전통시장,322930,105931,100670.66666666669,95410.33333333331,105931,45592,48421.0,45216.8
3130324,길동복조리시장,524309,148975,156270.25,163565.5,148975,74160,76075.0,74432.0
3130323,둔촌역전통시장,311047,91640,93009.5,94379.0,91640,43804,45727.0,43918.2
3130322,고분다리전통시장,156438,46928,47869.083333333336,48810.166666666664,46928,22024,23615.5,21841.6
3130321,장신구 특화거리 상점가,196830,57546,56184.666666666664,54823.33333333333,57546,28583,27698.5,28286.6
3130320,암사종합시장,199637,67345,62966.583333333336,58588.166666666664,67345,27943,29471.0,28139.2
3130319,성내전통시장,693015,203621,207676.91666666663,211732.8333333333,203621,95707,108917.0,95036.2
3130318,로데오거리상점가,502255,179059,163691.58333333334,148324.16666666666,179059,67350,79980.0,68459.0
3130317,마천중앙시장,644978,194499,195758.25,197017.5,194499,90156,98189.5,89719.8
3130316,마천시장,82759,24734,25208.0,25682.0,24734,11739,12226.0,11661.0
3130315,문정동 로데오거리 상점가(문정동 로데오거리),648458,189704,186483.5,183263.0,189704,95026,86097.0,95252.8
3130314,풍납시장,1263259,382806,382690.3333333333,382574.6666666666,382806,177246,189277.5,176940.2
3130313,방이시장,1043621,303266,311926.1666666667,320586.3333333333,303266,148726,150420.0,148555.8
3130312,석촌시장,275686,88717,84466.41666666667,80215.83333333333,88717,38587,40397.0,38978.8
3130311,새마을시장,1060122,352319,341076.8333333333,329834.6666666666,352319,146955,160471.0,147835.8
3130310,강남개포시장,242509,81453,70587.58333333333,59722.166666666664,81453,34847,34174.0,34832.4
3130309,은마종합상점가,24909,7243,6810.166666666667,6377.333333333333,7243,3966,2156.0,4119.6
3130308,청담삼익시장,19203,4505,4605.833333333333,4706.666666666666,4505,2937,2141.5,2984.2
3130307,도곡시장,83331,31679,27683.75,23688.5,31679,10849,14163.0,11001.0
3130306,강남언주로,260725,65243,65850.41666666667,66457.83333333333,65243,39959,30179.0,40073.2
