source,title,description,pub_date,prices,districts,sentiment
news,한국 '검은 반도체'는 넘사벽…日·中 못 따라잡는 이유 있었다,"방사무늬김(재래 김)이 99%인 일본과 달리 한국엔 잇바디돌김(<b>곱창</b> 김), 모무늬돌김(일반 김) 등 다양한 김 품종이 있다. 이상민 대상 김연구팀장은 “경쟁이 치열한 한국은 품종 개발부터 제품 다양화까지 수많은 김... ","Mon, 16 Jun 2025 17:33:00 +0900",[],[],neutral
news,[SNS줍줍] 젠더 갈등으로 번진 <b>곱창</b>집 여직원 '댄스 서비스',SNS 홍보 동영상 도마 위 &quot;재미&quot; vs &quot;불쾌&quot; 젠더 갈등으로 영상 삭제 후에도 논란 계속 서울의 한 <b>곱창</b>집에서... 논란의 불씨가 된 것은 지난 달 초 SNS에 '입장하면 터미널 댄스 춰주는 <b>곱창</b>집'이라는 제목의 짧은... ,"Mon, 16 Jun 2025 17:12:00 +0900",[],[],neutral
news,"백종원, 유통기한 경과 식자재 사용 의혹에 입 열었다…&quot;사용한 적 없는...","낙원<b>곱창</b>, 빽보이피자 등 8곳이다. 브랜드별 직영점 수는 빽다방빵연구소 4개, 빽다방 3개, 연돈볼카츠 2개, 본가 1개, 역전우동 1개, 리춘시장 1개, 낙원<b>곱창</b> 1개, 빽보이피자 1개 등으로 총 14곳이다. 또한 백종원과... ","Mon, 16 Jun 2025 10:36:00 +0900",[],[],neutral
news,진도군 '<b>곱창</b> 김' 중국 국제식품박람회서 인기,진도 <b>곱창</b>김 홍보 전시장을 운영해 큰 호응을 얻었다고 16일 밝혔다. 박람회에서 진도 <b>곱창</b>김은 다수의 중국 기업으로부터 수입 의뢰를 받는 등 많은 관심을 받았다. 동양영어조합법인은 중국 방송사(CCTV)로부터 장인... ,"Mon, 16 Jun 2025 09:18:00 +0900",[],[],neutral
news,[Who Is ?] 김정수 삼양식품 대표이사 부회장,"김정수는 직원들과 전국을 돌며 유명 불닭, 불<b>곱창</b>, 닭발 맛집을 찾아다녔고 세계 여러 고추와 페퍼소스, 멕시칸 핫소스 등 여러 소스를 연구한 뒤 강한 매운 맛을 라면에 적용한 불닭볶음면을 탄생시켰다. 1년 정도... ","Mon, 16 Jun 2025 08:26:00 +0900",[],[],neutral
news,"[르포] 유튜브 인기스타 13명, 성수동에 떴다",'삽교<b>곱창</b>'과 '국가대표 짬뽕'이라는 가게를 추천받은 히밥은 &quot;꼭 가보겠다&quot;고 답했다. 이어 &quot;'이모네 손칼국수'는 지난주에 다녀온 맛집&quot;이라며 &quot;포장 주문을 하면 면을 반죽으로 따로 주기 때문에 수제비처럼 먹을 수... ,"Sun, 15 Jun 2025 17:15:00 +0900",[],[],positive
news,부산 차애전할매칼국수·정원집·제일제면 백년소상공인에 선정,"수영구 정원집은 양<b>곱창</b>을 판매하는 음식점으로 업력이 34년에 이른다. 부산진구 개금동에 있는 제일제면은 면류를 제조하는 곳으로, 33년간 면을 제조하고 판매해온 곳이다. 울산에서는 백년소공인으로 중구의... ","Sun, 15 Jun 2025 17:12:00 +0900",[],[],neutral
news,"부천의 즐거운 만남, &quot;정말 감사합니다! 더운데 힘내세요!&quot; [오!쎈현장]",이들이 향한 곳은 몬타뇨가 방문해 식사를 즐겨 팬들 사이에서 이미 유명한 <b>곱창</b> 전문점이었다. 그런데 갑작스런 장면을 맞이했다. 이날 경기 출전 명단에서 제외됐던 바사니도 가족과 함께 신중동역을 찾았고 이곳에서... ,"Sun, 15 Jun 2025 14:54:00 +0900",[],[],neutral
news,프랜차이즈 문턱 높인다...‘백종원 방지법’ 나와 [국회 방청석],"전체 매장 수는 3109곳이며, 이 가운데 직영점이 운영되는 브랜드는 본가·빽다방·역전우동·리춘시장·빽다방빵연구소·연돈볼카츠·낙원<b>곱창</b>·빽보이피자 등 8곳이다. 전체 매장 수 대비 직영점 비율은 약 0.45%로 추산된다.... ","Sun, 15 Jun 2025 13:01:00 +0900",[],[],neutral
news,주민들만 아는 경복궁 숨은 맛집 4,별미<b>곱창</b> 서울 종로구 자하문로1길 50 별미<b>곱창</b> 서촌 별미<b>곱창</b> 서촌 별미<b>곱창</b> 고소하고 쫄깃한 알 <b>곱창</b>을 제대로 즐기고 싶다면 여기입니다. 고기와 채소의 비율이 잘 어우러져 처음부터 끝까지 균형 있는 맛을 느낄 수... ,"Sun, 15 Jun 2025 11:34:00 +0900",[],['종로'],positive
news,"공영홈쇼핑, 해수부와 수산물 '여름맞이 특별전'","황태포, 코다리, <b>곱창</b>김, 마른 멸치, 갈치 등 다양한 품목을 만날 수 있다. 공영홈쇼핑 수산팀 한재호 팀장은 &quot;어획량 급감과 생산비 증가로 수산인과 소비자 모두 어려움이 큰 상황&quot;이라며 &quot;우리 어업에 활력을 줄 수... ","Sun, 15 Jun 2025 08:36:00 +0900",[],[],neutral
news,하나씩 사라지고 있다,"공덕동 시장통에 선지해장국집, 위생병원 앞 막국수집, 을지로 2가 냉면집, 신사동에 아구찜, 건대 앞 칼국수집과 순대국집, 송파구청에 <b>곱창</b>집, 용두동 삼합집, 마장동에 닭곰탕 기사식당 등 허름해도 장인의 손맛을 느낄... ","Sun, 15 Jun 2025 08:22:00 +0900",[],[],neutral
news,"‘30kg 감량’ 미자, “새벽에 입 터졌다”… 살찌는 지름길?",개그우먼 미자(40)가 야식으로 <b>곱창</b>을 먹고 있는 모습을 공개했다. 13일 미자는 자신의 인스타그램 스토리에 “남편 잠든 새벽에 혼자 모둠 <b>곱창</b>”이라며 “요즘 입터졌다”라는 멘트와 함께 사진을 게재했다. 그가 공개한... ,"Sun, 15 Jun 2025 06:01:00 +0900",[],[],neutral
news,"'너의 연애' 리원, 포주 루머에 법적대응-故 김새론, 약 12억 원 채무설...","낙원<b>곱창</b>, 빽보이피자 등 8곳이다. 브랜드별 직영점 수는 빽다방빵연구소 4개, 빽다방 3개, 연돈볼카츠 2개, 본가 1개, 역전우동 1개, 리춘시장 1개, 낙원<b>곱창</b> 1개, 빽보이피자 1개 등으로 총 14곳이다. 또한 백종원과... ","Sat, 14 Jun 2025 22:52:00 +0900",[],[],neutral
news,"광천 별맛김 이성행 대표, 인도네시아·호주 수출상담회 참가…글로벌 ...","광천별맛김은 50년 전통의 역사를 자랑하는 국내 프리미엄 김 전문 브랜드로, 청정지역에서 엄선한 프리미엄 원초로 만든 ▲별맛파래김 ▲별맛재래김 ▲<b>곱창</b>김 ▲숯불김 ▲김자반 등 다양한 조미김과 구운김, 다양한... ","Sat, 14 Jun 2025 06:02:00 +0900",[],[],neutral
news,"[뉴스락 현장] 서울푸드 2025, K푸드 글로벌 진출 전략 총집결","대천김은 시그니처인 <b>곱창</b>김을 비롯해 바베큐, 해물 등 다양한 플레이버의 김자반을 앞세운 부스 구성에 글로벌 진출 전략을 녹여냈다. 또한 대천김의 수출용 품목인 '골드 구이김'이 미국 최대의 유통 플랫폼 아마존에서... ","Fri, 13 Jun 2025 22:38:00 +0900",[],[],neutral
news,'미트엑스포 2025 인 서울' 세텍서 개최,# <b>곱창</b>을 한 눈에 소개한 '케이엘미트' 아르헨티나 자숙 <b>곱창</b>을 직수입하고 있는 씨엔케이인터네셔널푸즈와 한우 <b>곱창</b>과 <b>곱창</b> 수입·제조 등과 관련해 특허 받은 손질 기술로 신뢰할 수 있는 <b>곱창</b>을 납품하고 있는... ,"Fri, 13 Jun 2025 19:14:00 +0900",[],[],neutral
news,"공영홈쇼핑, 대한민국 수산대전 ‘여름맞이 특별전’ 실시","방송 상품 외 공영라방 및 앱 등에서도 해당 품목에 쿠폰을 적용해 할인 구매가 가능하다. 황태포, 코다리, <b>곱창</b>김, 마른 멸치, 갈치 등 다양한 품목을 만날 수 있다.","Fri, 13 Jun 2025 16:26:00 +0900",[],[],neutral
news,"공영홈쇼핑, 대한민국 수산대전 '여름맞이 특별전' 진행","황태포, 코다리, <b>곱창</b>김, 마른 멸치, 갈치 등 다양한 품목을 만날 수 있다. 공영홈쇼핑 수산팀 한재호 팀장은 &quot;어획량 급감과 생산비 증가로 수산인과 소비자 모두 어려움이 큰 상황&quot;이라며, &quot;우리 어업에 활력을 줄... ","Fri, 13 Jun 2025 16:12:00 +0900",[],[],neutral
news,"공영홈쇼핑, 6월 수산대전 여름맞이 특별전 진행","방송 상품 외 공영라방 및 앱 등에서도 해당 품목에 쿠폰을 적용해 할인 구매가 가능하다. 황태포, 코다리, <b>곱창</b>김, 마른 멸치, 갈치 등 다양한 품목을 만날 수 있다.","Fri, 13 Jun 2025 15:10:00 +0900",[],[],neutral
news,"공영홈쇼핑, 수산대전 '여름맞이 특별전' 진행","황태포, 코다리, <b>곱창</b>김, 마른 멸치, 갈치 등 다양한 품목을 만날 수 있다. 한재호 수산팀장은 &quot;어획량 급감과 생산비 증가로 수산인과 소비자 모두 어려움이 큰 상황&quot;이라며 &quot;우리 어업에 활력을 줄 수 있도록 이번... ","Fri, 13 Jun 2025 15:02:00 +0900",[],[],neutral
news,&quot;손질 통오징어18미 3만9920원&quot; 공영홈쇼핑 '수산대전 여름맞이 특별전...,통오징어(18·21일·대사이즈 18미·3만9920원)를 선보일 예정이다. 방송상품 외 공영라방 및 앱 등에서도 쿠폰을 적용해 할인 구매가 가능하다. 황태포·코다리·<b>곱창</b>김·마른멸치·갈치 등 다양한 품목을 만날 수 있다.,"Fri, 13 Jun 2025 14:32:00 +0900","['920', '920']",[],neutral
news,공영홈쇼핑 ‘여름맞이 수산대전’…인기 수산물 20% 할인판매,"황태포, 코다리, <b>곱창</b>김, 마른 멸치, 갈치 등 다양한 품목을 만날 수 있다. 공영홈쇼핑 수산팀 한재호 팀장은 “어획량 급감과 생산비 증가로 수산인과 소비자 모두 어려움이 큰 상황”이라며 “우리 어업에 활력을... ","Fri, 13 Jun 2025 13:50:00 +0900",[],[],neutral
news,"경기도시장상권진흥원, 중동 등 4개 시장 '대표상품' 육성 지원","안성 죽산시장은 50년 전통 '<b>곱창</b>거리'를 HMR(가정간편식) 밀키트로 재해석해 젊은 소비자를 노린다. 의정부역지하상가는 먹거리·마실거리·신을거리라는 테마를 묶어 '지하상가 종합 기프트박스'를 기획 중이고, 평택... ","Fri, 13 Jun 2025 13:38:00 +0900",[],[],neutral
news,"공영홈쇼핑, ‘여름 맞이 특별전’ 진행…수산물 20% 할인 쿠폰 발급","황태포, 코다리, <b>곱창</b>김, 마른 멸치, 갈치 등 다양한 품목을 만날 수 있다. 한재호 공영홈쇼핑 수산팀 팀장은 &quot;어획량 급감과 생산비 증가로 수산인과 소비자 모두 어려움이 큰 상황&quot;이라며 &quot;우리 어업에 활력을 줄 수... ","Fri, 13 Jun 2025 13:10:00 +0900",[],[],neutral
news,"백종원 더본코리아, 연이은 논란 잠재울까? 이달 말 상생위원회 출범…...","낙원<b>곱창</b>, 빽보이피자 등 8곳이다. 브랜드별 직영점 수는 빽다방빵연구소 4개, 빽다방 3개, 연돈볼카츠 2개, 본가 1개, 역전우동 1개, 리춘시장 1개, 낙원<b>곱창</b> 1개, 빽보이피자 1개 등으로 총 14곳이다. 또한 백종원과... ","Fri, 13 Jun 2025 11:24:00 +0900",[],[],neutral
news,"공영홈쇼핑, 대한민국 수산대전 '여름맞이 특별전' 진행","방송 상품 외 공영라방 및 앱 등에서도 해당 품목에 쿠폰을 적용해 할인 구매가 가능하다. 황태포, 코다리, <b>곱창</b>김, 마른 멸치, 갈치 등 다양한 품목을 만날 수 있다. 신아름 머니투데이방송 MTN 기자","Fri, 13 Jun 2025 11:06:00 +0900",[],[],neutral
news,"공영홈쇼핑, 해수부와 수산대전 ‘여름맞이 특별전’진행","황태포, 코다리, <b>곱창</b>김, 마른 멸치, 갈치 등 다양한 품목을 만날 수 있다. 한재호 공영홈쇼핑 수산팀 팀장은 “어획량 급감과 생산비 증가로 수산인과 소비자 모두 어려움이 큰 상황”이라며 “우리 어업에 활력을 줄 수... ","Fri, 13 Jun 2025 11:00:00 +0900",[],[],neutral
news,"공영홈쇼핑, 수산대전 여름맞이 특별전","황태포, 코다리, <b>곱창</b>김, 마른 멸치, 갈치 등 다양한 품목을 만날 수 있다. 한재호 공영홈쇼핑 수산팀 팀장은 “어획량 급감과 생산비 증가로 수산인과 소비자 모두 어려움이 큰 상황”이라며 “우리 어업에 활력을 줄... ","Fri, 13 Jun 2025 09:56:00 +0900",[],[],neutral
news,"경기도시장상권진흥원, '경기도 전통시장 특화상품 지원사업' 설명회 개...",각 시장은 지원비로 ▲지역 특산물 활용 신규 밀키트 개발(중동사랑시장) ▲<b>곱창</b>거리 특화 밀키트 개발(죽산시장) ▲먹거리·마실거리·신을거리 특화상품 개발(의정부역지하상가) ▲지역상품 활용 건강 조청 개발... ,"Fri, 13 Jun 2025 09:06:00 +0900",[],[],neutral
news,"공영홈쇼핑, 수산대전 ‘여름맞이 특별전’ 진행","황태포, 코다리, <b>곱창</b>김, 마른 멸치, 갈치 등 다양한 품목을 만날 수 있다. 공영홈쇼핑 수산팀 한재호 팀장은 “어획량 급감과 생산비 증가로 수산인과 소비자 모두 어려움이 큰 상황”이라며, “우리 어업에 활력을... ","Fri, 13 Jun 2025 09:02:00 +0900",[],[],neutral
news,"공영홈쇼핑, 수산대전 '여름맞이 특별전' 진행…20% 할인 쿠폰 적용","황태포, 코다리, <b>곱창</b>김, 마른 멸치, 갈치 등 다양한 품목을 만날 수 있다. 한재호 공영홈쇼핑 수산팀 팀장은 &quot;어획량 급감과 생산비 증가로 수산인과 소비자 모두 어려움이 큰 상황&quot;이라며, &quot;우리 어업에 활력을 줄... ","Fri, 13 Jun 2025 08:58:00 +0900",[],[],neutral
news,"&quot;수산물 20% 할인&quot;…공영홈쇼핑, 여름맞이 특별전 진행","황태포, 코다리, <b>곱창</b> 김, 마른 멸치, 갈치 등 다양한 품목을 만날 수 있다. 한재호 공영홈쇼핑 수산팀장은 &quot;어획량 급감과 생산비 증가로 수산인과 소비자 모두 어려움이 큰 상황&quot;이라며 &quot;우리 어업에 활력을 줄 수... ","Fri, 13 Jun 2025 08:51:00 +0900",[],[],neutral
news,"공영홈쇼핑, 대한민국 수산대전 6월 '여름 맞이 특별전' 진행","황태포, 코다리, <b>곱창</b>김, 마른 멸치, 갈치 등 다양한 품목을 만날 수 있다. 한재호 공영홈쇼핑 수산팀 팀장은 &quot;어획량 급감과 생산비 증가로 수산인과 소비자 모두 어려움이 큰 상황&quot;이라며 &quot;우리 어업에 활력을 줄 수... ","Fri, 13 Jun 2025 08:50:00 +0900",[],[],neutral
news,"‘대한민국 수산대전’ 공영홈쇼핑, 6월 ‘여름맞이 특별전’ 진행","황태포, 코다리, <b>곱창</b>김, 마른 멸치, 갈치 등 다양한 품목을 만날 수 있다. 한재호 공영홈쇼핑 수산팀 팀장은 “어획량 급감과 생산비 증가로 수산인과 소비자 모두 어려움이 큰 상황”이라며 “우리 어업에 활력을... ","Fri, 13 Jun 2025 08:46:00 +0900",[],[],neutral
news,"공영홈쇼핑, 대한민국 수산대전 '여름맞이 특별전' 진행","이외에도 공영라방 및 앱 등 다양한 채널에서 황태포, 코다리, <b>곱창</b>김 등 여러 품목에 대해 동일한 혜택을 누릴 수 있다. 공영홈쇼핑 관계자는 &quot;최근 어획량 급감과 생산비 증가로 인해 어업인과 소비자 모두 어려움을... ","Fri, 13 Jun 2025 08:43:00 +0900",[],[],neutral
news,"특화상품 육성으로 경쟁력 더한다…경상원, '경기도 전통시장 특화상품...",각 시장은 지원비로 ▲지역 특산물 활용 신규 밀키트 개발(중동사랑시장) ▲<b>곱창</b>거리 특화 밀키트 개발(죽산시장) ▲먹거리·마실거리·신을거리 특화상품 개발(의정부역지하상가) ▲지역상품 활용 건강 조청 개발... ,"Fri, 13 Jun 2025 07:50:00 +0900",[],[],neutral
news,"<b>곱창</b> 맛보고, 창업 정보 얻고…",12일 서울 강남구 SETEC에서 열린 육류산업박람회 ‘미트 엑스포 2025’의 한 부스에서 직원이 시식용 <b>곱창</b>을 굽고 있다. 육류 유통·가공·수출 분야와 외식업 창업 정보를 얻을 수 있는 이 행사는 14일까지 진행된다.... ,"Fri, 13 Jun 2025 05:03:00 +0900",[],[],neutral
news,"&quot;야밤, 꽃길에 기대어&quot;…태연, 소프트함 가득→몽환적 산책 미소","태연은 포근한 연 베이지빛 퍼프소매 블라우스와 검은색 캡, 손목에 살며시 감싼 <b>곱창</b> 밴드를 포인트로 청량한 여름 저녁의 감성을 더했다. 꽃잎처럼 상기된 볼과 편안하게 내린 긴 생머리는 한층 자연스러운 매력을... ","Fri, 13 Jun 2025 00:12:00 +0900",[],[],neutral
news,"경상원, '경기도 전통시장 특화상품 지원사업' 설명회 개최",각 시장은 지원비로 ▲ 중동사랑시장 - 지역 특산물 활용 신규 밀키트 개발 ▲ 죽산시장 - <b>곱창</b>거리 특화 밀키트 개발 ▲ 의정부역지하상가 - 먹거리·마실거리·신을거리 특화상품 개발 ▲ 통복시장 - 지역상품 활용 건강... ,"Thu, 12 Jun 2025 23:58:00 +0900",[],[],neutral
